Category_name,Cat_id,Keywords,Monthly_num_search,Avg_monthly_click,Competitiveness
패션의류,50000000,타미힐피거,148600.0,697.0,높음
패션의류,50000000,남자경량패딩,12070.0,97.0,중간
패션의류,50000000,리스트,57400.0,2362.7999999999997,중간
패션의류,50000000,톰보이코트,10380.0,61.0,중간
패션의류,50000000,니트조끼,26850.0,163.70000000000002,중간
패션의류,50000000,남자청바지,32590.0,441.0,중간
패션의류,50000000,뷔스티에,29750.0,111.3,높음
패션의류,50000000,트레이닝복,43310.0,436.1,중간
패션의류,50000000,여성맨투맨,21650.0,153.5,높음
패션의류,50000000,럭키슈에뜨,85180.0,346.70000000000005,중간
패션의류,50000000,자라원피스,18400.0,126.5,높음
패션의류,50000000,칼하트디트로이트자켓,41100.0,415.6,중간
패션의류,50000000,내셔널지오그래픽,263600.0,806.0,중간
패션의류,50000000,스투시후드티,45280.0,525.7,높음
패션의류,50000000,퀼팅자켓,21380.0,131.9,높음
패션의류,50000000,커플잠옷,40580.0,542.5,높음
패션의류,50000000,라인에디션원피스,9710.0,93.9,높음
패션의류,50000000,온앤온,74500.0,542.4,중간
패션의류,50000000,빈폴레이디스,82970.0,1754.6000000000001,중간
패션의류,50000000,스튜디오톰보이,83910.0,337.8,높음
패션의류,50000000,조끼,32430.0,193.5,중간
패션의류,50000000,와이드팬츠,48010.0,200.20000000000002,중간
패션의류,50000000,플리츠스커트,24090.0,90.6,높음
패션의류,50000000,브라,26780.0,891.3,중간
패션의류,50000000,에고이스트원피스,10450.0,71.3,높음
패션의류,50000000,헤링본자켓,12090.0,82.0,높음
패션의류,50000000,숏코트,10240.0,26.3,높음
패션의류,50000000,트위드셋업,15360.0,221.6,중간
패션의류,50000000,핸드메이드자켓,6600.0,66.1,높음
패션의류,50000000,다이나핏,67010.0,1178.5,중간
패션의류,50000000,톰보이자켓,24490.0,209.8,높음
패션의류,50000000,심리스브라,36900.0,1005.5,높음
패션의류,50000000,트위드투피스,10450.0,169.3,높음
패션의류,50000000,온앤온자켓,21180.0,64.2,높음
패션의류,50000000,경량패딩여성,44320.0,534.6,높음
패션의류,50000000,샤틴원피스,12850.0,174.3,중간
패션의류,50000000,블루페페,7920.0,145.1,중간
패션의류,50000000,gu워크자켓,15880.0,21.7,높음
패션의류,50000000,리본블라우스,17040.0,223.70000000000002,중간
패션의류,50000000,여성트위드자켓,12040.0,140.2,높음
패션의류,50000000,여성니트,11490.0,86.6,중간
패션의류,50000000,보브,38660.0,775.0,중간
패션의류,50000000,여성원피스,20380.0,319.2,중간
패션의류,50000000,폴로셔츠,72260.0,1098.8999999999999,중간
패션의류,50000000,플라스틱아일랜드,57010.0,184.10000000000002,높음
패션의류,50000000,팬티,29080.0,583.0,높음
패션의류,50000000,제너럴아이디어,86510.0,1729.1,높음
패션의류,50000000,니트가디건,22880.0,147.20000000000002,중간
